#identity #similarity #sim%<=thresh #charge #mutcharge #mutcharge/nbpos #mass #mass/refmass #volume #volume/refvolume #ionic #ionic/nbpos #refener
29.12 58.87 0.25 -5 12 0.28 5795.14 0.95 3587.52 0.91 4 0.09 -606.00
34.08 74.80 0.22 4 14 0.32 6150.84 1.01 4063.41 1.04 5 0.12 -658.48
34.36 82.03 0.22 -3 13 0.28 6024.38 0.99 3710.85 0.95 3 0.08 -657.40
36.90 82.18 0.22 -3 14 0.30 5942.33 0.97 3765.47 0.96 4 0.09 -637.59
29.68 61.87 0.29 -3 13 0.29 5880.34 0.96 3574.85 0.91 4 0.09 -590.42
26.79 64.39 0.24 0 15 0.32 5945.52 0.97 3702.82 0.94 3 0.08 -622.37
27.73 50.54 0.29 -5 15 0.32 5896.33 0.97 3654.27 0.93 4 0.10 -590.33
30.21 65.23 0.28 2 14 0.30 6036.56 0.99 3762.86 0.96 4 0.10 -577.42
31.67 56.21 0.25 -3 12 0.27 5651.04 0.93 3447.91 0.88 6 0.14 -587.06
24.94 54.18 0.33 -3 15 0.32 5982.43 0.98 3742.70 0.95 3 0.08 -633.36
24.03 45.31 0.29 1 14 0.32 5962.76 0.98 3845.56 0.98 5 0.11 -576.88
28.46 54.30 0.30 -4 16 0.34 5930.49 0.97 3803.09 0.97 7 0.15 -627.90
30.03 65.77 0.28 -5 13 0.29 6108.64 1.00 3846.76 0.98 5 0.12 -645.18
22.95 34.13 0.32 -4 16 0.36 6188.84 1.01 4127.28 1.05 7 0.15 -659.40
29.16 63.16 0.25 -4 15 0.34 6127.51 1.00 3939.97 1.00 4 0.10 -673.77
30.94 76.13 0.23 -3 14 0.31 6300.90 1.03 4080.90 1.04 5 0.11 -670.71
30.42 77.30 0.24 -2 12 0.28 6287.92 1.03 4107.56 1.05 4 0.09 -653.17
27.14 55.64 0.30 -2 17 0.38 6361.00 1.04 4247.94 1.08 5 0.13 -743.45
29.54 61.25 0.28 0 15 0.33 6097.54 1.00 3904.42 1.00 4 0.10 -693.44
29.65 64.30 0.26 1 13 0.30 6168.68 1.01 3944.08 1.01 4 0.09 -654.81
22.01 39.95 0.32 -1 16 0.35 6213.73 1.02 3982.53 1.02 5 0.11 -643.59
27.52 60.67 0.25 -9 14 0.31 6372.70 1.04 4192.14 1.07 4 0.10 -735.39
29.16 67.57 0.21 1 14 0.30 6367.97 1.04 4280.11 1.09 4 0.10 -736.14
29.61 60.54 0.28 -4 16 0.34 5992.47 0.98 3828.86 0.98 4 0.10 -644.02
29.65 66.31 0.21 -4 14 0.30 6223.54 1.02 4075.49 1.04 3 0.08 -685.16
29.19 56.79 0.24 2 16 0.34 6237.96 1.02 4235.19 1.08 6 0.13 -665.72
30.87 71.00 0.25 -1 16 0.34 6337.82 1.04 4175.69 1.06 4 0.10 -704.76
33.59 78.67 0.23 -3 13 0.28 6361.89 1.04 4236.86 1.08 5 0.12 -695.35
35.40 85.92 0.23 -3 12 0.27 6270.74 1.03 4085.76 1.04 4 0.10 -690.11
32.89 84.80 0.24 -4 14 0.32 6344.70 1.04 4076.00 1.04 4 0.10 -726.20
34.67 86.69 0.24 -3 13 0.29 6238.63 1.02 3980.19 1.01 3 0.07 -686.19
32.51 70.67 0.26 0 13 0.28 6047.65 0.99 3941.21 1.01 5 0.11 -656.01
33.00 77.13 0.25 -3 14 0.32 6077.50 1.00 3877.20 0.99 3 0.08 -643.39
34.71 80.15 0.23 1 14 0.31 6129.80 1.00 4015.29 1.02 4 0.10 -654.70
36.31 85.89 0.21 -3 13 0.28 6138.59 1.01 3972.18 1.01 4 0.09 -681.22
33.87 82.89 0.22 -6 14 0.31 6366.86 1.04 4176.44 1.07 5 0.12 -715.03
27.73 56.56 0.28 -5 16 0.36 6454.02 1.06 4278.07 1.09 6 0.15 -711.90
29.12 73.41 0.24 -4 14 0.31 6225.83 1.02 4032.10 1.03 5 0.12 -688.08
26.02 46.39 0.31 0 14 0.31 6104.81 1.00 3938.47 1.00 6 0.13 -591.85
25.88 50.05 0.34 -1 14 0.31 5951.64 0.98 3785.27 0.97 3 0.08 -588.64
30.90 66.28 0.24 -1 14 0.30 5895.29 0.97 3624.94 0.92 4 0.10 -623.66
30.69 64.51 0.26 0 14 0.31 5908.33 0.97 3657.81 0.93 4 0.10 -616.39
